# Crimson Skies - IDA FLIRT-identified names (347 functions, VC6/MFC42/std/ATL)
# Format: 0xADDRESS name  -- adopt the non-CRT ones into functions.json
# Regenerate: tools/crimson_gap.py, then export the ida_name column of
#             crimson_ida_names.csv (see handoffs/crimsonskies.md).
0x005F7312 ??Hstd@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@ABV10@D@Z
0x005F7320 DirectDrawCreate
0x005F7326 DirectDrawEnumerateA
0x005F732C DirectPlayLobbyCreateA
0x005F7332 DirectInputCreateA
0x005F8DF0 acmStreamUnprepareHeader
0x005F8DF6 acmStreamConvert
0x005F8DFC acmStreamPrepareHeader
0x005F8E02 acmStreamOpen
0x005F8E08 acmFormatSuggest
0x005F8E0E acmStreamClose
0x005F8E14 acmStreamSize
0x005F8E1A acmMetrics
0x005F8E20 TIFFOpen
0x005F8E26 TIFFReadEncodedStrip
0x005F8E2C TIFFGetField
0x005F8E32 TIFFNumberOfStrips
0x005F8E38 TIFFClose
0x005FC510 _WinMain@16
0x005FC528 ?AfxInitialize@@YGHHK@Z
0x005FC568 AVIFileInit
0x005FC56E AVIFileExit
0x005FC574 ICClose
0x005FC57A ICSendMessage
0x005FC580 AVIStreamRelease
0x005FC586 ICLocate
0x005FC58C AVIStreamInfoA
0x005FC592 AVIStreamLength
0x005FC598 AVIStreamReadFormat
0x005FC59E AVIStreamOpenFromFileA
0x005FC5A4 AVIStreamRead
0x005FC5AA ICDecompress
0x005FC5B0 AVIStreamFindSample
0x005FC5B6 ?AfxWinMain@@YGHPAUHINSTANCE__@@0PADH@Z
